countyName,pop2010,pctfor,turnout,medage,divorced,churches,obama08,mccain08,pctrural,edu_baorup,medinc,col_enrol,age18-24,age25-59,age60up,colleges,students,white,black,popden,pctw,pctb,pctd,churchden,pctba,pctstud,pct18-24,pct25-59,pct60up,colden,pctcolenrol,MaleBachelor,MaleMaster,MaleProfessional,MaleDoctorate,FemaleBachelor,FemaleMaster,FemaleProfessional,FemaleDoctorate,pctmb,pctmm,pctmp,pctmd,pctfb,pctfm,pctfp,pctfd,Owneroccupied,Renteroccupied,pctown,pctrent,evanrate
hyde,5800,64.10437,40.15,41.37,221,31,50,49,100,490,38265,328,406,3075,1252,0,0,3718,1836,9.461664,0.641034483,0.316551724,0.038103448,0.005344828,0.084482759,0,0.07,0.530172414,0.215862069,0,0.056551724,198,68,0,0,214,8,2,0,0.034137931,0.011724138,0,0,0.036896552,0.00137931,0.000344828,0,1587,334,0.27362069,0.057586207,57.49
iredell,159766,73.43101,32.39,39.02,6617,362,37,62,37.91,22239,48962,7216,12547,77063,29690,1,2283,128646,19047,278.337979,0.805215127,0.119218106,0.041416822,0.002265814,0.139197326,0.014289649,0.078533605,0.482349186,0.185834283,6.26E-06,0.045166055,7817,2413,654,295,8095,2340,512,113,0.048927807,0.015103339,0.004093487,0.00184645,0.050667852,0.01464642,0.003204687,0.000707284,43345,14661,0.271303031,0.091765457,281.01
jackson,40330,61.686485,35.55,36.27,2198,86,52,47,73.09,6663,37190,6496,7862,16482,8860,2,10590,33489,745,82.138493,0.830374411,0.018472601,0.054500372,0.002132408,0.165212001,0.262583685,0.194941731,0.408678403,0.219687577,4.96E-05,0.161071163,2069,628,204,582,1887,1061,68,164,0.05130176,0.015571535,0.005058269,0.014430945,0.046788991,0.026307959,0.00168609,0.004066452,10518,5348,0.260798413,0.132606,339.20
johnston,169669,73.77387,35.23,36.43,6788,368,38,62,52.04,20125,49745,7760,12621,83685,26315,1,4095,125349,25546,214.228535,0.738785518,0.150563745,0.040007308,0.002168929,0.1186133,0.024135228,0.07438601,0.493225044,0.155096099,5.89E-06,0.04573611,6915,1414,379,225,8489,2231,238,234,0.040755825,0.008333874,0.002233761,0.001326111,0.050032711,0.013149132,0.001402731,0.001379156,43253,15840,0.254925767,0.093358245,244.95
jones,10156,71.21094,34.78,44.17,537,58,45,54,100,758,38354,356,831,4632,2500,0,0,6395,3289,21.471459,0.629677038,0.323847972,0.052875148,0.00571091,0.074635683,0,0.081823553,0.456085073,0.246159905,0,0.035053171,183,75,17,20,385,70,8,0,0.018018905,0.007384797,0.001673887,0.001969279,0.037908625,0.006892477,0.000787712,0,2946,1140,0.290074833,0.112248917,180.83
lee,57882,70.35406,36.23,37.36,2702,193,46,54,42.76,6575,44120,2505,4867,26936,11229,1,4707,38688,11565,216.786517,0.668394319,0.199803048,0.046681179,0.00333437,0.113593172,0.081320618,0.084084862,0.465360561,0.193998134,1.73E-05,0.043277703,2106,554,129,146,2554,852,128,106,0.036384368,0.009571197,0.002228672,0.002522373,0.044124253,0.014719602,0.002211396,0.001831312,14764,6222,0.255070661,0.107494558,258.27
lenoir,59400,71.68355,32.44,41.16,2716,273,50,50,45.01,5834,33625,3482,4750,26933,13456,1,2579,31758,24121,148.5,0.534646465,0.406077441,0.045723906,0.00459596,0.098215488,0.043417508,0.07996633,0.453417508,0.226531987,1.68E-05,0.058619529,1522,610,192,131,2601,686,45,47,0.025622896,0.01026936,0.003232323,0.002205387,0.043787879,0.011548822,0.000757576,0.000791246,15039,9103,0.253181818,0.153249158,339.49
lincoln,78396,77.36509,38.99,40.57,3293,181,33,66,54.55,9278,47450,3585,5909,38509,15561,0,0,69940,4340,262.19398,0.892137354,0.055359967,0.042004694,0.002308791,0.118347875,0,0.075373744,0.491211286,0.19849227,0,0.045729374,3623,645,166,125,3332,1248,139,0,0.046214093,0.008227461,0.002117455,0.001594469,0.042502168,0.01591918,0.00177305,0,22418,6989,0.285958467,0.089149957,313.28
macon,33928,75.51214,35.14,47.9,1870,116,39,60,70.3,4777,38615,1104,2468,14049,10897,0,0,31811,447,65.751938,0.93760316,0.013174959,0.055116718,0.003419005,0.140798161,0,0.072742278,0.414082763,0.321180146,0,0.032539495,1467,605,240,137,1533,692,60,43,0.043238623,0.017831879,0.007073803,0.004037963,0.045183919,0.020396133,0.001768451,0.00126739,12125,3655,0.35737444,0.10772813,486.00
madison,20782,70.42565,33.83,43.43,979,67,49,50,80.01,2766,38580,1684,2040,9427,5232,1,1308,20035,240,46.285078,0.964055433,0.011548455,0.047108074,0.003223944,0.133095948,0.062939082,0.098161871,0.453613704,0.251756328,4.81E-05,0.081031662,841,334,17,101,1124,322,7,20,0.040467712,0.0160716,0.000818016,0.004859975,0.054085266,0.015494178,0.00033683,0.000962371,6146,1856,0.295736695,0.089308055,566.61
